id,appid,developer
896,40950,FireFly Studios
897,40960,FireFly Studios
898,40970,FireFly Studios
899,40980,FireFly Studios
900,40990,Illusion Softworks
901,41000,Croteam
902,41050,Croteam
903,41060,Croteam
904,41070,Croteam
905,41100,Konstantin Koshutin
906,41300,Nimbly Games
907,41310,
908,41400,"Dream Forge Entertainment, LLC"
909,41500,Runic Games
910,41600,VIS Interactive
911,41660,Oasis Games
912,41680,Independent Programmist Group
913,41700,GSC Game World
914,41740,Ice-Pick Lodge
915,41800,Positech Games
916,41900,inXile Entertainment
917,42000,Trinoteam
918,42120,Fatshark
919,42140,Fatshark
920,42170,Fatshark
921,42200,HeR Interactive
922,42210,HeR Interactive
923,42220,HeR Interactive
924,42230,HeR Interactive
925,42500,Dark Water Studios Ltd
926,42670,Raven Software
927,42700,Treyarch
928,42810,Crystal Empire Games
929,42850,BL-Logic
930,42890,Kerberos Productions Inc.
931,42910,Arrowhead Game Studios
932,42920,NeoCoreGames
933,42930,1C:InoCo
934,42940,1C:InoCo
935,42950,1C:InoCo
936,42960,Paradox Development Studio
937,42980,Paradox Development Studio
938,42990,Kerberos Productions
939,43000,Double Helix Games
940,43100,Blue Fang
941,43190,KTX Software
942,43500,Realmforge Studios
943,43600,HeR Interactive
944,44100,New Star Games Ltd
945,44340,Codemasters Action Studio
946,44350,"Codemasters Racing, Feral Interactive (Mac)"
947,44360,Codemasters Birmingham
948,44600,SimBin Studios AB
949,44680,SimBin Studios AB
950,44690,SimBin Studios AB
951,45000,Cadenza Interactive
952,45100,Artery Games
953,45300,Gaijin Entertainment
954,45400,Nemesys Games
955,45410,Nemesys Games
956,45420,Nemesys Games
957,45450,Nemesys Games
958,45700,Capcom
959,45710,Airtight Games
960,45720,"CAPCOM CO., LTD."
961,45730,Other Ocean Interactive
962,45740,Capcom Vancouver
963,45750,"CAPCOM CO., LTD."
964,45760,Capcom
965,45770,Capcom Vancouver
966,46000,Ludosity
967,46200,SkyRiver Studios
968,46250,The Farm 51
969,46260,Elite Games Team
970,46270,X-Bow Software
971,46280,X-Bow Software
972,46290,1C Entertainment
973,46340,1C Entertainment
974,46350,Unicorn Games Studio
975,46360,1C Entertainment
976,46370,SoftLab-NSK
977,46380,Lesta Studio
978,46400,"Headup Games, Clockstone"
979,46410,ClockStone Studios
980,46440,Radon Labs
981,46450,Silent Dreams
982,46460,Nucleosys
983,46470,
984,46480,Microids
985,46490,Microids
986,46500,Microids
987,46510,Microids
988,46520,"Octane Games, Meridian4"
989,46540,Headup Games / Crenetic
990,46550,MC2
991,46560,Spellbound
992,46570,Silent Dreams
993,46600,Dedication Games
994,46700,Totem Games
995,46710,Totem Games
996,46720,Dagger Games
997,46730,Dagger Games
998,46740,Icehole Games
999,46750,Darkling Room
1000,46760,Totem Games
1001,46770,Muzzy Lane Software
1002,46790,Ntronium Games
1003,46830,Totem games
1004,46840,Totem Games
1005,46850,Dust Devil Studios Inc.
1006,47000,Playrix Entertainment
1007,47110,Gogii
1008,47120,Gogiii
1009,47130,Gogii
1010,47400,FireFly Studios
1011,47410,FireFly Studios
