id,appid,genre
948,44600,"Racing, Sports"
949,44680,Racing
950,44690,"Racing, Simulation, Sports"
951,45000,"Indie, Strategy"
952,45100,"Casual, Indie"
953,45300,Simulation
954,45400,Indie
955,45410,Racing
956,45420,"Casual, Indie, Simulation"
957,45450,"Casual, Indie"
958,45700,"Action, Adventure"
959,45710,"Action, Adventure"
960,45720,"Action, Adventure"
961,45730,"Action, Adventure"
962,45740,"Action, Adventure"
963,45750,"Action, Adventure"
964,45760,Action
965,45770,"Action, Adventure"
966,46000,"Adventure, Indie"
967,46200,"Action, Racing"
968,46250,Action
969,46260,"RPG, Strategy"
970,46270,"RPG, Strategy"
971,46280,"RPG, Strategy"
972,46290,Strategy
973,46340,"Simulation, Strategy"
974,46350,Strategy
975,46360,"Simulation, Strategy"
976,46370,Simulation
977,46380,Strategy
978,46400,"Action, RPG"
979,46410,"Action, Indie, RPG"
980,46440,Strategy
981,46450,"Indie, RPG, Strategy"
982,46460,Adventure
983,46470,
984,46480,Adventure
985,46490,Adventure
986,46500,"Adventure, Casual"
987,46510,Adventure
988,46520,"Action, Indie"
989,46540,"Action, Strategy"
990,46550,Adventure
991,46560,Strategy
992,46570,"Adventure, Indie, RPG, Strategy"
993,46600,"Action, Casual, Indie"
994,46700,Strategy
995,46710,Strategy
996,46720,RPG
997,46730,RPG
998,46740,Simulation
999,46750,"Adventure, Indie"
1000,46760,Strategy
1001,46770,"Indie, Simulation, Strategy"
1002,46790,Strategy
1003,46830,Strategy
1004,46840,Strategy
1005,46850,Casual
1006,47000,"Adventure, Casual"
1007,47110,Action
1008,47120,Action
1009,47130,Adventure
1010,47400,"Simulation, Strategy"
1011,47410,"Free to Play, Massively Multiplayer, Strategy"
1012,47500,Casual
1013,47520,Casual
1014,47540,"RPG, Casual"
1015,47570,Casual
1016,47700,Strategy
1017,47730,RPG
1018,47780,Action
1019,47790,Action
1020,47800,Strategy
1021,47810,RPG
1022,47870,Racing
1023,47890,Simulation
1024,47920,Racing
1025,48000,"Adventure, Indie"
1026,48110,Simulation
1027,48150,Casual
1028,48190,"Action, Adventure"
1029,48220,"RPG, Strategy"
1030,48240,Strategy
1031,48700,"Action, RPG"
1032,48720,"Action, RPG"
1033,48800,Simulation
1034,48900,Indie
1035,48950,Strategy
1036,49000,Casual
1037,49300,Strategy
